player2,round,player1,gender,file,tournament,date
Daria Kasatkina,R64,Aryna Sabalenka,W,20201001-W-Roland_Garros-R64-Aryna_Sabalenka-Daria_Kasatkina.html,Roland Garros,2020-10-01
Ons Jabeur,R32,Aryna Sabalenka,W,20201003-W-Roland_Garros-R32-Aryna_Sabalenka-Ons_Jabeur.html,Roland Garros,2020-10-03
Aryna Sabalenka,R16,Coco Gauff,W,20201022-W-Ostrava-R16-Coco_Gauff-Aryna_Sabalenka.html,Ostrava,2020-10-22
Sara Sorribes Tormo,QF,Aryna Sabalenka,W,20201023-W-Ostrava-QF-Aryna_Sabalenka-Sara_Sorribes_Tormo.html,Ostrava,2020-10-23
Aryna Sabalenka,SF,Jennifer Brady,W,20201024-W-Ostrava-SF-Jennifer_Brady-Aryna_Sabalenka.html,Ostrava,2020-10-24
Aryna Sabalenka,F,Victoria Azarenka,W,20201025-W-Ostrava-F-Victoria_Azarenka-Aryna_Sabalenka.html,Ostrava,2020-10-25
Aryna Sabalenka,R32,Jasmine Paolini,W,20201110-W-Linz-R32-Jasmine_Paolini-Aryna_Sabalenka.html,Linz,2020-11-10
Stefanie Voegele,R16,Aryna Sabalenka,W,20201112-W-Linz-R16-Aryna_Sabalenka-Stefanie_Voegele.html,Linz,2020-11-12
Barbora Krejcikova,SF,Aryna Sabalenka,W,20201114-W-Linz-SF-Aryna_Sabalenka-Barbora_Krejcikova.html,Linz,2020-11-14
Elise Mertens,F,Aryna Sabalenka,W,20201115-W-Linz-F-Aryna_Sabalenka-Elise_Mertens.html,Linz,2020-11-15
Polona Hercog,R64,Aryna Sabalenka,W,20210107-W-Abu_Dhabi-R64-Aryna_Sabalenka-Polona_Hercog.html,Abu Dhabi,2021-01-07
Ajla Tomljanovic,R32,Aryna Sabalenka,W,20210108-W-Abu_Dhabi-R32-Aryna_Sabalenka-Ajla_Tomljanovic.html,Abu Dhabi,2021-01-08
Ons Jabeur,R16,Aryna Sabalenka,W,20210110-W-Abu_Dhabi-R16-Aryna_Sabalenka-Ons_Jabeur.html,Abu Dhabi,2021-01-10
Elena Rybakina,QF,Aryna Sabalenka,W,20210111-W-Abu_Dhabi-QF-Aryna_Sabalenka-Elena_Rybakina.html,Abu Dhabi,2021-01-11
Maria Sakkari,SF,Aryna Sabalenka,W,20210112-W-Abu_Dhabi-SF-Aryna_Sabalenka-Maria_Sakkari.html,Abu Dhabi,2021-01-12
Veronika Kudermetova,F,Aryna Sabalenka,W,20210113-W-Abu_Dhabi-F-Aryna_Sabalenka-Veronika_Kudermetova.html,Abu Dhabi,2021-01-13
Kaia Kanepi,R32,Aryna Sabalenka,W,20210202-W-Gippsland_Trophy-R32-Aryna_Sabalenka-Kaia_Kanepi.html,Gippsland Trophy,2021-02-02
Viktoria Hruncakova,R128,Aryna Sabalenka,W,20210208-W-Australian_Open-R128-Aryna_Sabalenka-Viktoria_Hruncakova.html,Australian Open,2021-02-08
