rank,player,country,points,wins,losses,win_pct,titles,elo
92,Mike Machette,USA,—,6,11,35.3%,0,"1,540"
93,Jurgen Fassbender,GER,—,9,12,42.9%,0,"1,650"
94,Julian Ganzabal,ARG,—,12,16,42.9%,0,"1,606"
95,Jean Francois Caujolle,FRA,—,14,14,50.0%,0,"1,619"
96,Kjell Johansson,SWE,—,11,18,37.9%,0,"1,593"
97,John Yuill,RSA,—,11,16,40.7%,0,"1,611"
98,Alvaro Betancur,COL,—,9,19,32.1%,0,"1,535"
99,Pat Dupre,USA,—,6,14,30.0%,0,"1,452"
101,Hank Pfister,USA,—,8,12,40.0%,0,"1,537"
101,Juan Ignacio Muntanola,ESP,—,7,11,38.9%,0,"1,546"
103,Allan Stone,AUS,—,12,21,36.4%,0,"1,739"
104,Patrick Proisy,FRA,—,12,14,46.1%,0,"1,674"
105,Victor Amaya,USA,—,13,23,36.1%,0,"1,564"
106,Vladimir Zednik,CZE,—,5,10,33.3%,0,"1,585"
108,Patricio Cornejo,CHI,—,13,15,46.4%,0,"1,623"
108,Werner Zirngibl,GER,—,8,11,42.1%,0,"1,553"
108,Rolf Norberg,SWE,—,7,10,41.2%,0,"1,532"
114,Frantisek Pala,CZE,—,10,14,41.7%,0,"1,611"
115,Nick Saviano,USA,—,7,12,36.8%,0,"1,512"
116,Peter Fleming,USA,—,15,14,51.7%,0,"1,635"
116,Jean Louis Haillet,FRA,—,8,10,44.4%,0,"1,487"
119,Henry Bunis,USA,—,12,21,36.4%,0,"1,571"
119,Carlos Kirmayr,BRA,—,10,15,40.0%,0,"1,582"
122,Colin Dowdeswell,GBR,—,14,26,35.0%,0,"1,631"
123,Antonio Munoz,ESP,—,12,19,38.7%,0,"1,568"
124,Ramiro Benavides,BOL,—,9,18,33.3%,0,"1,485"
125,Jorge Andrew,VEN,—,11,20,35.5%,0,"1,565"
127,Chris Lewis,NZL,—,9,16,36.0%,0,"1,523"
129,Emilio Montano,MEX,—,4,8,33.3%,0,"1,493"
130,John Whitlinger,USA,—,17,29,37.0%,0,"1,540"
131,Angel Gimenez,ESP,—,8,7,53.3%,0,"1,585"
131,Robin Drysdale,GBR,—,5,12,29.4%,0,"1,544"
134,Bob Carmichael,AUS,—,11,18,37.9%,0,"1,615"
135,Frank Gebert,GER,—,5,12,29.4%,0,"1,451"
136,Mike Cahill,USA,—,13,26,33.3%,0,"1,597"
136,Eric Deblicker,FRA,—,10,15,40.0%,0,"1,543"
140,Gerald Battrick,GBR,—,13,23,36.1%,0,"1,577"
142,Martin Robinson,GBR,—,3,14,17.6%,0,"1,490"
143,Russell Simpson,NZL,—,8,16,33.3%,0,"1,490"
144,Javier Soler,ESP,—,6,4,60.0%,0,"1,598"
146,John James,AUS,—,6,14,30.0%,0,"1,511"
147,Steve Turner,USA,—,5,17,22.7%,0,"1,395"
148,Alvaro Fillol,CHI,—,5,12,29.4%,0,"1,518"
148,David Schneider,USA,—,5,6,45.5%,0,"1,514"
148,Mark Meyers,USA,—,1,2,33.3%,0,"1,486"
151,Nicola Spear,SRB,—,5,15,25.0%,0,"1,514"
152,Birger Andersson,SWE,—,6,13,31.6%,0,"1,512"
153,Norman Holmes,USA,—,8,22,26.7%,0,"1,503"
154,Tomas Smid,CZE,—,5,7,41.7%,0,"1,542"
154,Deon Joubert,RSA,—,4,5,44.4%,0,"1,552"
154,Willem Prinsloo,RSA,—,3,1,75.0%,0,"1,546"
157,Grover Raz Reid,USA,—,7,22,24.1%,0,"1,518"
158,Denis Naegelen,FRA,—,8,9,47.1%,0,"1,578"
159,Alvin Gardiner,AUS,—,5,15,25.0%,0,"1,416"
160,Herve Gauvain,FRA,—,5,11,31.2%,0,"1,448"
160,Pavel Hutka,CZE,—,2,6,25.0%,0,"1,517"
163,Georges Goven,FRA,—,3,12,20.0%,0,"1,557"
164,Chris Kachel,AUS,—,5,14,26.3%,0,"1,419"
165,John Marks,AUS,—,3,15,16.7%,0,"1,442"
166,Patrice Dominguez,FRA,—,7,7,50.0%,0,"1,697"
166,Douglas Palm,SWE,—,4,9,30.8%,0,"1,523"
166,Richard Lewis,GBR,—,4,9,30.8%,0,"1,490"
169,Manuel Santana,ESP,—,4,6,40.0%,0,"1,653"
169,Bernard Mignot,BEL,—,3,5,37.5%,0,"1,560"
169,Doug Crawford,USA,—,3,4,42.9%,0,"1,468"
169,Marcello Lara,MEX,—,2,6,25.0%,0,"1,465"
169,Steve Docherty,AUS,—,0,3,0.0%,0,"1,461"
174,Paul Mcnamee,AUS,—,2,8,20.0%,0,"1,415"
175,John Bartlett,AUS,—,3,16,15.8%,0,"1,367"
176,Ferdi Taygan,USA,—,3,8,27.3%,0,"1,542"
176,Zan Guerry,USA,—,0,6,0.0%,0,"1,504"
178,Eric Friedler,USA,—,1,10,9.1%,0,"1,411"
179,George Hardie,USA,—,3,16,15.8%,0,"1,438"
180,Jose Edison Mandarino,BRA,—,4,9,30.8%,0,"1,543"
182,Rolf Thung,NED,—,3,19,13.6%,0,"1,394"
183,Butch Seewagen,USA,—,3,3,50.0%,0,"1,605"
185,Harald Elschenbroich,GER,—,4,10,28.6%,0,"1,544"
185,Hans Joachim Ploetz,GER,—,2,10,16.7%,0,"1,514"
187,Bob Giltinan,AUS,—,4,12,25.0%,0,"1,557"
187,Timothy Noonan,USA,—,3,4,42.9%,0,"1,495"
187,Keith Richardson,USA,—,2,4,33.3%,0,"1,489"
187,Kenichi Hirai,JPN,—,2,4,33.3%,0,"1,438"
191,Pat Cramer,RSA,—,2,20,9.1%,0,"1,429"
192,Jim Mcmanus,USA,—,1,17,5.6%,0,"1,391"
193,Brad Drewett,AUS,—,4,3,57.1%,0,"1,601"
193,Bobby Webb,USA,—,2,4,33.3%,0,"1,486"
193,Rick Fisher,USA,—,2,9,18.2%,0,"1,407"
193,Scott Carnahan,USA,—,2,2,50.0%,0,"1,570"
193,Peter Pearson,USA,—,0,4,0.0%,0,"1,471"
199,Clark Graebner,USA,0,0,3,0.0%,0,"1,537"
201,Rory Chappell,RSA,—,2,1,66.7%,0,"1,528"
201,Jan Norback,SWE,—,1,5,16.7%,0,"1,479"
203,Peter Szoke,HUN,—,5,5,50.0%,0,"1,644"
